ID,MAPE,MAE,RMSE,MASE,scaler,scale_level
0,323992806400.0,4.673596382141113,5.854485590201662,0.20540067418983146,,
1,323992806400.0,4.673596382141113,5.854485590201662,0.20540067418983146,,
10,3239927603200.0,46.13274002075195,57.7873678481076,2.0274955575315583,,
2,323992806400.0,4.673596382141113,5.854485590201662,0.20540067418983146,,
3,323992806400.0,4.673596382141113,5.854485590201662,0.20540067418983146,,
4,323992806400.0,4.673596382141113,5.854485590201662,0.20540067418983146,,
5,323992806400.0,4.673596382141113,5.854485590201662,0.20540067418983146,,
6,323992806400.0,4.673596382141113,5.854485590201662,0.20540067418983146,,
7,323992806400.0,4.673596382141113,5.854485590201662,0.20540067418983146,,
8,323992806400.0,4.673596382141113,5.854485590201662,0.20540067418983146,,
9,323992806400.0,4.673596382141113,5.854485590201662,0.20540067418983146,,
ALL,589077787927.2727,8.442609440196644,10.575656704556748,0.37104566358453395,,
0,5962497200.0,0.0016281125135719776,0.001987218842509269,6.571426541632772e-05,"MinMaxScaler(feature_range=(0.1, 1))",local
1,5962497200.0,0.0016281125135719776,0.001987218842509269,6.571426541632772e-05,"MinMaxScaler(feature_range=(0.1, 1))",local
10,5962497200.0,0.0016281125135719776,0.001987218842509269,6.571426541632772e-05,"MinMaxScaler(feature_range=(0.1, 1))",local
2,5962497200.0,0.0016281125135719776,0.001987218842509269,6.571426541632772e-05,"MinMaxScaler(feature_range=(0.1, 1))",local
3,5962497200.0,0.0016281125135719776,0.001987218842509269,6.571426541632772e-05,"MinMaxScaler(feature_range=(0.1, 1))",local
4,5962497200.0,0.0016281125135719776,0.001987218842509269,6.571426541632772e-05,"MinMaxScaler(feature_range=(0.1, 1))",local
5,5962497200.0,0.0016281125135719776,0.001987218842509269,6.571426541632772e-05,"MinMaxScaler(feature_range=(0.1, 1))",local
6,5962497200.0,0.0016281125135719776,0.001987218842509269,6.571426541632772e-05,"MinMaxScaler(feature_range=(0.1, 1))",local
7,5962497200.0,0.0016281125135719776,0.001987218842509269,6.571426541632772e-05,"MinMaxScaler(feature_range=(0.1, 1))",local
8,5962497200.0,0.0016281125135719776,0.001987218842509269,6.571426541632772e-05,"MinMaxScaler(feature_range=(0.1, 1))",local
9,5962497200.0,0.0016281125135719776,0.001987218842509269,6.571426541632772e-05,"MinMaxScaler(feature_range=(0.1, 1))",local
ALL,5962497200.0,0.0016281125135719776,0.001987218842509269,6.571426541632772e-05,"MinMaxScaler(feature_range=(0.1, 1))",local
0,5931079600.0,0.0016238389071077108,0.001983506285129995,6.554177309338524e-05,StandardScaler(),local
1,5931079600.0,0.0016238389071077108,0.001983506285129995,6.554177309338524e-05,StandardScaler(),local
10,5932201200.0,0.0016238389071077108,0.001983506285129995,6.554177309338524e-05,StandardScaler(),local
2,5931079600.0,0.0016238389071077108,0.001983506285129995,6.554177309338524e-05,StandardScaler(),local
3,5931079600.0,0.0016238389071077108,0.001983506285129995,6.554177309338524e-05,StandardScaler(),local
4,5931079600.0,0.0016238389071077108,0.001983506285129995,6.554177309338524e-05,StandardScaler(),local
5,5931079600.0,0.0016238389071077108,0.001983506285129995,6.554177309338524e-05,StandardScaler(),local
6,5931079600.0,0.0016238389071077108,0.001983506285129995,6.554177309338524e-05,StandardScaler(),local
7,5931079600.0,0.0016238389071077108,0.001983506285129995,6.554177309338524e-05,StandardScaler(),local
8,5931079600.0,0.0016238389071077108,0.001983506285129995,6.554177309338524e-05,StandardScaler(),local
9,5931079600.0,0.0016238389071077108,0.001983506285129995,6.554177309338524e-05,StandardScaler(),local
ALL,5931181563.636364,0.0016238389071077108,0.001983506285129995,6.554177309338524e-05,StandardScaler(),local
0,323812787200.0,4.6735968589782715,5.854485590201662,0.205400695146428,"MinMaxScaler(feature_range=(0.1, 1))",global
1,323812787200.0,4.6735968589782715,5.854485590201662,0.205400695146428,"MinMaxScaler(feature_range=(0.1, 1))",global
10,3233601126400.0,46.13274002075195,57.7873678481076,2.0274955575315583,"MinMaxScaler(feature_range=(0.1, 1))",global
2,323812787200.0,4.6735968589782715,5.854485590201662,0.205400695146428,"MinMaxScaler(feature_range=(0.1, 1))",global
3,323812787200.0,4.6735968589782715,5.854485590201662,0.205400695146428,"MinMaxScaler(feature_range=(0.1, 1))",global
4,323812787200.0,4.6735968589782715,5.854485590201662,0.205400695146428,"MinMaxScaler(feature_range=(0.1, 1))",global
5,323812787200.0,4.6735968589782715,5.854485590201662,0.205400695146428,"MinMaxScaler(feature_range=(0.1, 1))",global
6,323812787200.0,4.6735968589782715,5.854485590201662,0.205400695146428,"MinMaxScaler(feature_range=(0.1, 1))",global
7,323812787200.0,4.6735968589782715,5.854485590201662,0.205400695146428,"MinMaxScaler(feature_range=(0.1, 1))",global
8,323812787200.0,4.6735968589782715,5.854485590201662,0.205400695146428,"MinMaxScaler(feature_range=(0.1, 1))",global
9,323812787200.0,4.6735968589782715,5.854485590201662,0.205400695146428,"MinMaxScaler(feature_range=(0.1, 1))",global
ALL,588338999854.5454,8.44260987368497,10.575656704556748,0.37104568263598525,"MinMaxScaler(feature_range=(0.1, 1))",global
0,324006451200.0,4.673599720001221,5.8544881965426345,0.20540082088600725,StandardScaler(),global
1,324006451200.0,4.673599720001221,5.8544881965426345,0.20540082088600725,StandardScaler(),global
10,3240064204800.0,46.13274002075195,57.78736362329787,2.0274955575315583,StandardScaler(),global
2,324006451200.0,4.673599720001221,5.8544881965426345,0.20540082088600725,StandardScaler(),global
3,324006451200.0,4.673599720001221,5.8544881965426345,0.20540082088600725,StandardScaler(),global
