,scaler,scale_level,time
0,None,None,28.081729650497437
0,"MinMaxScaler(feature_range=(0.1, 1))",local,22.840671062469482
0,StandardScaler(),local,25.992078065872192
0,"MinMaxScaler(feature_range=(0.1, 1))",global,23.0506694316864
0,StandardScaler(),global,22.479625940322876
