ID,MAPE,MAE,RMSE,MASE,scaler,scale_level
0,8.192053437232971,8.2478666305542,8.368127992632177,3.3128257180422858,,
1,8.192053437232971,8.2478666305542,8.368127992632177,3.3128257180422858,,
10,712376267571200.0,81.75212860107422,82.74078557553251,32.836437137701516,,
2,8.192053437232971,8.2478666305542,8.368127992632177,3.3128257180422858,,
3,8.192053437232971,8.2478666305542,8.368127992632177,3.3128257180422858,,
4,8.192053437232971,8.2478666305542,8.368127992632177,3.3128257180422858,,
5,8.192053437232971,8.2478666305542,8.368127992632177,3.3128257180422858,,
6,8.192053437232971,8.2478666305542,8.368127992632177,3.3128257180422858,,
7,8.192053437232971,8.2478666305542,8.368127992632177,3.3128257180422858,,
8,8.192053437232971,8.2478666305542,8.368127992632177,3.3128257180422858,,
9,8.192053437232971,8.2478666305542,8.368127992632177,3.3128257180422858,,
ALL,64761478870116.555,14.930072264237838,15.12927868198675,5.996790392556761,,
0,1.1445640586316586,1.1390122175216675,1.3169622859985834,0.4595649671789999,"MinMaxScaler(feature_range=(0.1, 1))",local
1,1.1445640586316586,1.1390122175216675,1.3169622859985834,0.4595649671789999,"MinMaxScaler(feature_range=(0.1, 1))",local
10,11.13867461681366,11.401183128356934,13.20420495305881,4.600112509403745,"MinMaxScaler(feature_range=(0.1, 1))",local
2,1.1445640586316586,1.1390122175216675,1.3169622859985834,0.4595649671789999,"MinMaxScaler(feature_range=(0.1, 1))",local
3,1.1445640586316586,1.1390122175216675,1.3169622859985834,0.4595649671789999,"MinMaxScaler(feature_range=(0.1, 1))",local
4,1.1445640586316586,1.1390122175216675,1.3169622859985834,0.4595649671789999,"MinMaxScaler(feature_range=(0.1, 1))",local
5,1.1445640586316586,1.1390122175216675,1.3169622859985834,0.4595649671789999,"MinMaxScaler(feature_range=(0.1, 1))",local
6,1.1445640586316586,1.1390122175216675,1.3169622859985834,0.4595649671789999,"MinMaxScaler(feature_range=(0.1, 1))",local
7,1.1445640586316586,1.1390122175216675,1.3169622859985834,0.4595649671789999,"MinMaxScaler(feature_range=(0.1, 1))",local
8,1.1445640586316586,1.1390122175216675,1.3169622859985834,0.4595649671789999,"MinMaxScaler(feature_range=(0.1, 1))",local
9,1.1445640586316586,1.1390122175216675,1.3169622859985834,0.4595649671789999,"MinMaxScaler(feature_range=(0.1, 1))",local
ALL,2.0531195639209314,2.071936845779419,2.397620710276786,0.8359783801085222,"MinMaxScaler(feature_range=(0.1, 1))",local
0,1.0212213732302189,1.0324772596359253,1.291794719296281,0.41651395516187534,StandardScaler(),local
1,1.0212213732302189,1.0324772596359253,1.291794719296281,0.41651395516187534,StandardScaler(),local
10,10.542871057987213,10.259331703186035,12.850720669616768,4.138739894880053,StandardScaler(),local
2,1.0212213732302189,1.0324772596359253,1.291794719296281,0.41651395516187534,StandardScaler(),local
3,1.0212213732302189,1.0324772596359253,1.291794719296281,0.41651395516187534,StandardScaler(),local
4,1.0212213732302189,1.0324772596359253,1.291794719296281,0.41651395516187534,StandardScaler(),local
5,1.0212213732302189,1.0324772596359253,1.291794719296281,0.41651395516187534,StandardScaler(),local
6,1.0212213732302189,1.0324772596359253,1.291794719296281,0.41651395516187534,StandardScaler(),local
7,1.0212213732302189,1.0324772596359253,1.291794719296281,0.41651395516187534,StandardScaler(),local
8,1.0212213732302189,1.0324772596359253,1.291794719296281,0.41651395516187534,StandardScaler(),local
9,1.0212213732302189,1.0324772596359253,1.291794719296281,0.41651395516187534,StandardScaler(),local
ALL,1.8868258900263093,1.8712822090495715,2.3426061693254163,0.7548981314998915,StandardScaler(),local
0,8.192053437232971,8.247867584228516,8.368127992632177,3.3128261010936786,"MinMaxScaler(feature_range=(0.1, 1))",global
1,8.192053437232971,8.247867584228516,8.368127992632177,3.3128261010936786,"MinMaxScaler(feature_range=(0.1, 1))",global
10,713134912307200.0,81.75212860107422,82.74078557553251,32.836437137701516,"MinMaxScaler(feature_range=(0.1, 1))",global
2,8.192053437232971,8.247867584228516,8.368127992632177,3.3128261010936786,"MinMaxScaler(feature_range=(0.1, 1))",global
3,8.192053437232971,8.247867584228516,8.368127992632177,3.3128261010936786,"MinMaxScaler(feature_range=(0.1, 1))",global
4,8.192053437232971,8.247867584228516,8.368127992632177,3.3128261010936786,"MinMaxScaler(feature_range=(0.1, 1))",global
5,8.192053437232971,8.247867584228516,8.368127992632177,3.3128261010936786,"MinMaxScaler(feature_range=(0.1, 1))",global
6,8.192053437232971,8.247867584228516,8.368127992632177,3.3128261010936786,"MinMaxScaler(feature_range=(0.1, 1))",global
7,8.192053437232971,8.247867584228516,8.368127992632177,3.3128261010936786,"MinMaxScaler(feature_range=(0.1, 1))",global
8,8.192053437232971,8.247867584228516,8.368127992632177,3.3128261010936786,"MinMaxScaler(feature_range=(0.1, 1))",global
9,8.192053437232971,8.247867584228516,8.368127992632177,3.3128261010936786,"MinMaxScaler(feature_range=(0.1, 1))",global
ALL,64830446573389.28,14.930073131214488,15.12927868198675,5.9967907407853005,"MinMaxScaler(feature_range=(0.1, 1))",global
0,8.19205492734909,8.247869491577148,8.368129816073143,3.3128268671964647,StandardScaler(),global
1,8.19205492734909,8.247869491577148,8.368129816073143,3.3128268671964647,StandardScaler(),global
10,717165953024000.0,81.75212860107422,82.74077967419542,32.836437137701516,StandardScaler(),global
2,8.19205492734909,8.247869491577148,8.368129816073143,3.3128268671964647,StandardScaler(),global
3,8.19205492734909,8.247869491577148,8.368129816073143,3.3128268671964647,StandardScaler(),global
4,8.19205492734909,8.247869491577148,8.368129816073143,3.3128268671964647,StandardScaler(),global
5,8.19205492734909,8.247869491577148,8.368129816073143,3.3128268671964647,StandardScaler(),global
6,8.19205492734909,8.247869491577148,8.368129816073143,3.3128268671964647,StandardScaler(),global
7,8.19205492734909,8.247869491577148,8.368129816073143,3.3128268671964647,StandardScaler(),global
8,8.19205492734909,8.247869491577148,8.368129816073143,3.3128268671964647,StandardScaler(),global
9,8.19205492734909,8.247869491577148,8.368129816073143,3.3128268671964647,StandardScaler(),global
ALL,65196904820371.1,14.930074865167791,15.129279803175168,5.996791437242378,StandardScaler(),global
