,,baseline,baseline
,,MAE,RMSE
baseline,ID,,
NP_ampl_and_offset_8.0,8,0.5161110162734985,0.7083320664413193
NP_ampl_and_offset_8.0,9,0.5161110162734985,0.7083320664413193
NP_ampl_and_offset_9.0,0,0.5178551077842712,0.7086597466569058
NP_ampl_and_offset_9.0,1,0.5178551077842712,0.7086597466569058
NP_ampl_and_offset_9.0,2,0.5178551077842712,0.7086597466569058
NP_ampl_and_offset_9.0,3,0.5178551077842712,0.7086597466569058
NP_ampl_and_offset_9.0,4,0.5178551077842712,0.7086597466569058
NP_ampl_and_offset_9.0,5,0.5178551077842712,0.7086597466569058
NP_ampl_and_offset_9.0,6,0.5178551077842712,0.7086597466569058
NP_ampl_and_offset_9.0,7,0.5178551077842712,0.7086597466569058
NP_ampl_and_offset_9.0,8,0.5178551077842712,0.7086597466569058
NP_ampl_and_offset_9.0,9,0.5178551077842712,0.7086597466569058
NP_heteroscedascity_1.0,0,1.0050729513168335,1.3789055583833252
NP_heteroscedascity_1.0,1,1.0050729513168335,1.3789055583833252
NP_heteroscedascity_1.0,2,1.0050729513168335,1.3789055583833252
NP_heteroscedascity_1.0,3,1.0050729513168335,1.3789055583833252
NP_heteroscedascity_1.0,4,1.0050729513168335,1.3789055583833252
NP_heteroscedascity_1.0,5,1.0050729513168335,1.3789055583833252
NP_heteroscedascity_1.0,6,1.0050729513168335,1.3789055583833252
NP_heteroscedascity_1.0,7,1.0050729513168335,1.3789055583833252
NP_heteroscedascity_1.0,8,1.0050729513168335,1.3789055583833252
NP_heteroscedascity_1.0,9,1.0050729513168335,1.3789055583833252
NP_heteroscedascity_10.0,0,0.7848038077354431,1.1784353621490518
NP_heteroscedascity_10.0,1,0.7848038077354431,1.1784353621490518
NP_heteroscedascity_10.0,2,0.7848038077354431,1.1784353621490518
NP_heteroscedascity_10.0,3,0.7848038077354431,1.1784353621490518
NP_heteroscedascity_10.0,4,0.7848038077354431,1.1784353621490518
NP_heteroscedascity_10.0,5,0.7848038077354431,1.1784353621490518
NP_heteroscedascity_10.0,6,0.7848038077354431,1.1784353621490518
NP_heteroscedascity_10.0,7,0.7848038077354431,1.1784353621490518
NP_heteroscedascity_10.0,8,0.7848038077354431,1.1784353621490518
NP_heteroscedascity_10.0,9,0.7848038077354431,1.1784353621490518
NP_heteroscedascity_2.0,0,0.9760370850563049,1.3450902420741593
NP_heteroscedascity_2.0,1,0.9760370850563049,1.3450902420741593
NP_heteroscedascity_2.0,2,0.9760370850563049,1.3450902420741593
NP_heteroscedascity_2.0,3,0.9760370850563049,1.3450902420741593
NP_heteroscedascity_2.0,4,0.9760370850563049,1.3450902420741593
NP_heteroscedascity_2.0,5,0.9760370850563049,1.3450902420741593
NP_heteroscedascity_2.0,6,0.9760370850563049,1.3450902420741593
NP_heteroscedascity_2.0,7,0.9760370850563049,1.3450902420741593
NP_heteroscedascity_2.0,8,0.9760370850563049,1.3450902420741593
NP_heteroscedascity_2.0,9,0.9760370850563049,1.3450902420741593
NP_heteroscedascity_3.0,0,0.9387878179550171,1.3079712255270146
NP_heteroscedascity_3.0,1,0.9387878179550171,1.3079712255270146
NP_heteroscedascity_3.0,2,0.9387878179550171,1.3079712255270146
NP_heteroscedascity_3.0,3,0.9387878179550171,1.3079712255270146
NP_heteroscedascity_3.0,4,0.9387878179550171,1.3079712255270146
NP_heteroscedascity_3.0,5,0.9387878179550171,1.3079712255270146
NP_heteroscedascity_3.0,6,0.9387878179550171,1.3079712255270146
NP_heteroscedascity_3.0,7,0.9387878179550171,1.3079712255270146
NP_heteroscedascity_3.0,8,0.9387878179550171,1.3079712255270146
NP_heteroscedascity_3.0,9,0.9387878179550171,1.3079712255270146
NP_heteroscedascity_4.0,0,0.9034739136695862,1.2741184871106308
NP_heteroscedascity_4.0,1,0.9034739136695862,1.2741184871106308
NP_heteroscedascity_4.0,2,0.9034739136695862,1.2741184871106308
NP_heteroscedascity_4.0,3,0.9034739136695862,1.2741184871106308
NP_heteroscedascity_4.0,4,0.9034739136695862,1.2741184871106308
NP_heteroscedascity_4.0,5,0.9034739136695862,1.2741184871106308
NP_heteroscedascity_4.0,6,0.9034739136695862,1.2741184871106308
NP_heteroscedascity_4.0,7,0.9034739136695862,1.2741184871106308
NP_heteroscedascity_4.0,8,0.9034739136695862,1.2741184871106308
NP_heteroscedascity_4.0,9,0.9034739136695862,1.2741184871106308
NP_heteroscedascity_5.0,0,0.8732725977897644,1.2460815524756905
NP_heteroscedascity_5.0,1,0.8732725977897644,1.2460815524756905
NP_heteroscedascity_5.0,2,0.8732725977897644,1.2460815524756905
NP_heteroscedascity_5.0,3,0.8732725977897644,1.2460815524756905
NP_heteroscedascity_5.0,4,0.8732725977897644,1.2460815524756905
NP_heteroscedascity_5.0,5,0.8732725977897644,1.2460815524756905
NP_heteroscedascity_5.0,6,0.8732725977897644,1.2460815524756905
NP_heteroscedascity_5.0,7,0.8732725977897644,1.2460815524756905
NP_heteroscedascity_5.0,8,0.8732725977897644,1.2460815524756905
NP_heteroscedascity_5.0,9,0.8732725977897644,1.2460815524756905
NP_heteroscedascity_6.0,0,0.8481189608573914,1.2240466417420428
NP_heteroscedascity_6.0,1,0.8481189608573914,1.2240466417420428
NP_heteroscedascity_6.0,2,0.8481189608573914,1.2240466417420428
NP_heteroscedascity_6.0,3,0.8481189608573914,1.2240466417420428
NP_heteroscedascity_6.0,4,0.8481189608573914,1.2240466417420428
NP_heteroscedascity_6.0,5,0.8481189608573914,1.2240466417420428
NP_heteroscedascity_6.0,6,0.8481189608573914,1.2240466417420428
NP_heteroscedascity_6.0,7,0.8481189608573914,1.2240466417420428
NP_heteroscedascity_6.0,8,0.8481189608573914,1.2240466417420428
NP_heteroscedascity_6.0,9,0.8481189608573914,1.2240466417420428
NP_heteroscedascity_7.0,0,0.8275868892669678,1.2072322147312977
NP_heteroscedascity_7.0,1,0.8275868892669678,1.2072322147312977
NP_heteroscedascity_7.0,2,0.8275868892669678,1.2072322147312977
NP_heteroscedascity_7.0,3,0.8275868892669678,1.2072322147312977
NP_heteroscedascity_7.0,4,0.8275868892669678,1.2072322147312977
NP_heteroscedascity_7.0,5,0.8275868892669678,1.2072322147312977
NP_heteroscedascity_7.0,6,0.8275868892669678,1.2072322147312977
NP_heteroscedascity_7.0,7,0.8275868892669678,1.2072322147312977
NP_heteroscedascity_7.0,8,0.8275868892669678,1.2072322147312977
NP_heteroscedascity_7.0,9,0.8275868892669678,1.2072322147312977
NP_heteroscedascity_8.0,0,0.8107032775878906,1.1946264554611907
NP_heteroscedascity_8.0,1,0.8107032775878906,1.1946264554611907
NP_heteroscedascity_8.0,2,0.8107032775878906,1.1946264554611907
NP_heteroscedascity_8.0,3,0.8107032775878906,1.1946264554611907
NP_heteroscedascity_8.0,4,0.8107032775878906,1.1946264554611907
NP_heteroscedascity_8.0,5,0.8107032775878906,1.1946264554611907
NP_heteroscedascity_8.0,6,0.8107032775878906,1.1946264554611907
NP_heteroscedascity_8.0,7,0.8107032775878906,1.1946264554611907
NP_heteroscedascity_8.0,8,0.8107032775878906,1.1946264554611907
NP_heteroscedascity_8.0,9,0.8107032775878906,1.1946264554611907
NP_heteroscedascity_9.0,0,0.7966448068618774,1.185287422057698
NP_heteroscedascity_9.0,1,0.7966448068618774,1.185287422057698
NP_heteroscedascity_9.0,2,0.7966448068618774,1.185287422057698
NP_heteroscedascity_9.0,3,0.7966448068618774,1.185287422057698
NP_heteroscedascity_9.0,4,0.7966448068618774,1.185287422057698
NP_heteroscedascity_9.0,5,0.7966448068618774,1.185287422057698
NP_heteroscedascity_9.0,6,0.7966448068618774,1.185287422057698
NP_heteroscedascity_9.0,7,0.7966448068618774,1.185287422057698
NP_heteroscedascity_9.0,8,0.7966448068618774,1.185287422057698
NP_heteroscedascity_9.0,9,0.7966448068618774,1.185287422057698
NP_offset_1.0,0,1.0685874223709106,1.3232490342304417
NP_offset_1.0,1,1.0685874223709106,1.3232490342304417
NP_offset_1.0,2,1.0685874223709106,1.3232490342304417
NP_offset_1.0,3,1.0685874223709106,1.3232490342304417
NP_offset_1.0,4,1.0685874223709106,1.3232490342304417
NP_offset_1.0,5,1.0685874223709106,1.3232490342304417
NP_offset_1.0,6,1.0685874223709106,1.3232490342304417
NP_offset_1.0,7,1.0685874223709106,1.3232490342304417
NP_offset_1.0,8,1.0685874223709106,1.3232490342304417
NP_offset_1.0,9,1.0685874223709106,1.3232490342304417
NP_offset_10.0,0,1.0685875415802002,1.3232493945836943
NP_offset_10.0,1,1.0685875415802002,1.3232493945836943
NP_offset_10.0,2,1.0685875415802002,1.3232493945836943
NP_offset_10.0,3,1.0685875415802002,1.3232493945836943
NP_offset_10.0,4,1.0685875415802002,1.3232493945836943
NP_offset_10.0,5,1.0685875415802002,1.3232493945836943
NP_offset_10.0,6,1.0685875415802002,1.3232493945836943
NP_offset_10.0,7,1.0685875415802002,1.3232493945836943
NP_offset_10.0,8,1.0685875415802002,1.3232493945836943
NP_offset_10.0,9,1.0685875415802002,1.3232493945836943
NP_offset_2.0,0,1.0685876607894897,1.3232488540537788
NP_offset_2.0,1,1.0685876607894897,1.3232488540537788
NP_offset_2.0,2,1.0685876607894897,1.3232488540537788
NP_offset_2.0,3,1.0685876607894897,1.3232488540537788
NP_offset_2.0,4,1.0685876607894897,1.3232488540537788
NP_offset_2.0,5,1.0685876607894897,1.3232488540537788
NP_offset_2.0,6,1.0685876607894897,1.3232488540537788
NP_offset_2.0,7,1.0685876607894897,1.3232488540537788
NP_offset_2.0,8,1.0685876607894897,1.3232488540537788
NP_offset_2.0,9,1.0685876607894897,1.3232488540537788
NP_offset_3.0,0,1.0685876607894897,1.3232489891862784
NP_offset_3.0,1,1.0685876607894897,1.3232489891862784
NP_offset_3.0,2,1.0685876607894897,1.3232489891862784
NP_offset_3.0,3,1.0685876607894897,1.3232489891862784
NP_offset_3.0,4,1.0685876607894897,1.3232489891862784
NP_offset_3.0,5,1.0685876607894897,1.3232489891862784
NP_offset_3.0,6,1.0685876607894897,1.3232489891862784
NP_offset_3.0,7,1.0685876607894897,1.3232489891862784
NP_offset_3.0,8,1.0685876607894897,1.3232489891862784
NP_offset_3.0,9,1.0685876607894897,1.3232489891862784
NP_offset_4.0,0,1.0685871839523315,1.323249124318764
NP_offset_4.0,1,1.0685871839523315,1.323249124318764
NP_offset_4.0,2,1.0685871839523315,1.323249124318764
NP_offset_4.0,3,1.0685871839523315,1.323249124318764
NP_offset_4.0,4,1.0685871839523315,1.323249124318764
NP_offset_4.0,5,1.0685871839523315,1.323249124318764
