ID_EXP,ID_model,ID_GROUP,experiment_winner,no scaler_MASE,best per_time_series_MASE,best per_dataset_MASE,per_series_not_effective,per_series_scaler_type,has_problem
"gen_one_shape_ar_trend_n_ts_[1, 1, 2, 2]_am_[10, 10, 1, 1]_of_[10, 10, 1, 1]_gr_[1.0, 0.0, 1.0, 0.0]_None",NP_,TRE,0.4198,0.9087,0.5759,0.8837,False,QuantileTransformer(output_distribution='normal'),WAHR
"gen_one_shape_ar_trend_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]",NP_,TRE,0.4247,0.6324,0.6382,0.6287,True,QuantileTransformer(output_distribution='normal'),BAD
"gen_one_shape_ar_trend_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[10.0, 0.0]",NP_,TRE,0.4054,0.7686,0.6073,0.6073,True,LogTransformer(),WAHR
"gen_one_shape_ar_trend_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",NP_,TRE,0.4057,0.5283,0.4907,0.5283,True,QuantileTransformer(output_distribution='normal'),NEUTRAL
"gen_one_shape_ar_trend_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[10.0, 0.0]",NP_,TRE,0.4294,0.5788,0.4294,0.4811,True,QuantileTransformer(output_distribution='normal'),WAHR
"gen_one_shape_ar_trend_n_ts_[2, 2, 2, 2]_am_[10, 10, 1, 1]_of_[10, 10, 1, 1]_gr_[10.0, 0.0, 10.0, 0.0]",NP_,TRE,0.4385,0.8439,0.5928,0.7028,False,QuantileTransformer(output_distribution='normal'),WAHR
"gen_one_shape_ar_trend_n_ts_[5, 5]_am_[10, 1]_of_[10, 1]_gr_[10.0, 1.0]",NP_,TRE,0.401,0.8551,0.4097,0.6741,False,"RobustScaler(quantile_range=(5, 95))",WAHR
"gen_struc_break_mean_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_None_[0, 2]",NP_,STRU,0.4465,0.6623,0.5169,0.6583,False,MinMaxScaler(),WAHR
"gen_struc_break_mean_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_None_[2, 0]",NP_,STRU,0.4312,0.7511,0.5576,0.6867,False,MinMaxScaler(),WAHR
"gen_struc_break_mean_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_None_[0, 2]",NP_,STRU,0.4063,0.5345,0.4436,0.5345,True,"RobustScaler(quantile_range=(5, 95))",WAHR
"gen_struc_break_mean_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_None_[2, 0]",NP_,STRU,0.45,0.5804,0.4666,0.573,False,StandardScaler(),WAHR
"gen_struc_break_mean_n_ts_[2, 1]_am_[10, 1]_of_[10, 1]_gr_None",NP_,STRU,0.4807,0.7466,0.4807,0.6539,False,MinMaxScaler(),WAHR
"gen_struc_break_mean_n_ts_[2, 2, 2, 2]_am_[1, 10, 1, 10]_of_[1, 10, 1, 10]_gr_None",NP_,STRU,0.4378,0.8386,0.511,0.7629,False,StandardScaler(),WAHR
"gen_struc_break_mean_n_ts_[5, 5]_am_[1, 1]_of_[0, 0]_gr_None",NP_,STRU,0.4529,0.5158,0.4529,0.453,True,StandardScaler(),FALSE
"gen_struc_break_var_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_None_[1, 2]",NP_,STRU,0.5903,0.7917,0.6295,0.7631,False,StandardScaler(),WAHR
"gen_struc_break_var_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_None_[2, 1]",NP_,STRU,0.5634,0.8708,0.5634,0.8172,False,MinMaxScaler(),WAHR
"gen_struc_break_var_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_None_[1, 2]",NP_,STRU,0.4106,0.5327,0.4106,0.532,False,StandardScaler(),WAHR
"gen_struc_break_var_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_None_[2, 1]",NP_,STRU,0.658,0.852,0.7513,0.8313,True,MinMaxScaler(),WAHR
"gen_struc_break_var_n_ts_[2, 1]_am_[10, 1]_of_[10, 1]_gr_None",NP_,STRU,0.695,0.9975,0.695,0.9431,False,MinMaxScaler(),WAHR
"gen_struc_break_var_n_ts_[2, 2, 2, 2]_am_[1, 10, 1, 10]_of_[1, 10, 1, 10]_gr_None",NP_,STRU,0.5943,0.9294,0.5943,0.8453,False,MinMaxScaler(),WAHR
"gen_struc_break_var_n_ts_[5, 5]_am_[1, 1]_of_[0, 0]_gr_None",NP_,STRU,0.7444,0.7484,0.7446,0.7444,True,"RobustScaler(quantile_range=(5, 95))",FALSE
"gen_one_shape_heteroscedacity_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",NP_,HET,0.5643,0.7943,0.7259,0.784,True,MinMaxScaler(),BAD
"gen_one_shape_heteroscedacity_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]",NP_,HET,0.6164,0.8902,0.6164,0.8261,False,MinMaxScaler(),WAHR
"gen_one_shape_heteroscedacity_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",NP_,HET,0.4107,0.5254,0.4611,0.5254,True,StandardScaler(),BAD
"gen_one_shape_heteroscedacity_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]",NP_,HET,0.8282,0.9628,0.8282,0.9153,True,MinMaxScaler(),WAHR
"gen_one_shape_heteroscedacity_n_ts_[2, 1]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]",NP_,HET,0.7775,1.1221,0.7775,1.0044,False,MinMaxScaler(),WAHR
"gen_one_shape_heteroscedacity_n_ts_[5, 5]_am_[1, 1]_of_[0, 0]_gr_[1.0, 1.0]",NP_,HET,0.6943,0.826,0.6944,0.6943,True,PowerTransformer(),WAHR
"gen_one_shape_heteroscedacity_op_n_ts_[10, 1]_am_[1, 1]_of_[0, 0]_gr_[1.0, 1.0]",NP_,HET,0.2416,0.491,0.3104,0.3942,True,QuantileTransformer(output_distribution='normal'),WAHR
"gen_one_shape_heteroscedacity_op_n_ts_[5, 5]_am_[1, 1]_of_[0, 0]_gr_[1.0, 1.0]",NP_,HET,0.4495,0.8279,0.6406,0.7847,False,QuantileTransformer(output_distribution='normal'),WAHR
