,,baseline,baseline
,,MAE,RMSE
baseline,ID,,
NP_trend_2.0,0,0.7972155213356018,1.0022300649798
NP_trend_2.0,1,0.7976839542388916,1.002198603788312
NP_trend_2.0,2,0.8088081479072571,1.0134654634271916
NP_trend_2.0,3,0.7843406796455383,0.9757175910409404
NP_trend_2.0,4,0.7939221858978271,0.9912239562433994
NP_trend_2.0,5,0.8122357726097107,1.0120808899557983
NP_trend_2.0,6,0.7857880592346191,0.9783460885169014
NP_trend_2.0,7,0.8090906739234924,1.0068729367936518
NP_trend_2.0,8,0.7841187119483948,0.988267951242585
NP_trend_2.0,9,0.8261195421218872,1.0287815374682967
NP_structural_break_1.0,0,0.6860306262969971,0.918151642456314
NP_structural_break_1.0,1,0.7776411771774292,1.0820321864595732
NP_structural_break_1.0,2,0.7067289352416992,0.968229215367839
NP_structural_break_1.0,3,0.8189395070075989,1.1558366500616215
NP_structural_break_1.0,4,0.6997056007385254,0.9673046281482814
NP_structural_break_1.0,5,0.7149522304534912,0.9671761125377978
NP_structural_break_1.0,6,0.7176820039749146,0.9889008762106928
NP_structural_break_1.0,7,0.655806839466095,0.877182384675824
NP_structural_break_1.0,8,0.7984090447425842,1.1150862667257164
NP_structural_break_1.0,9,0.7053815126419067,0.9598995588826771
NP_trend_4.0,0,0.7972159385681152,1.0022298270916985
NP_trend_4.0,1,0.7976845502853394,1.00219896063156
NP_trend_4.0,2,0.8088076710700989,1.0134656398652897
NP_trend_4.0,3,0.784342348575592,0.9757184768166658
NP_trend_4.0,4,0.7939231991767883,0.9912246477654026
NP_trend_4.0,5,0.8122358322143555,1.0120823033907222
NP_trend_4.0,6,0.7857887148857117,0.9783468805270884
NP_trend_4.0,7,0.8090919852256775,1.006873291980282
NP_trend_4.0,8,0.7841165065765381,0.9882652371884719
NP_trend_4.0,9,0.8261222839355469,1.0287837970136995
NP_heteroscedasticity_9.0,0,0.44646498560905457,0.6081434177695139
NP_heteroscedasticity_9.0,1,0.6385642290115356,0.8733732223743799
NP_heteroscedasticity_9.0,2,0.555866539478302,0.7551423449571003
NP_heteroscedasticity_9.0,3,1.2147724628448486,1.6930975442084581
NP_heteroscedasticity_9.0,4,0.20845860242843628,0.26568545326749327
NP_heteroscedasticity_9.0,5,1.2410136461257935,1.7339506575263917
NP_heteroscedasticity_9.0,6,0.6832452416419983,0.9322161546242445
