,MAE,RMSE
TP_localST_trend_4.0,1.4691232171062751,1.4723193959347476
TP_localST_trend_5.0,1.4693743657827025,1.472520181355969
TP_localST_trend_6.0,1.469498522298996,1.4726194174341776
TP_localST_trend_7.0,1.4703741765267468,1.4734198806417675
TP_localST_trend_8.0,1.470374099834285,1.4733198847553257
TP_localST_trend_9.0,1.4713733619782503,1.4744195731665855
TP_offset_0.0,1.455622984980417,1.4585188558336744
TP_offset_1.0,3.729436680817967,3.26446424394045
TP_offset_2.0,6.871200732614391,5.747666641429749
TP_offset_3.0,10.128224541663306,8.326374658279738
TP_offset_4.0,13.431123982552975,10.946285318020399
TP_offset_5.0,16.75416442892808,13.584805598679843
TP_offset_6.0,20.089800226123113,16.234811681818048
TP_offset_7.0,23.433224625665815,18.892836859855105
TP_offset_8.0,26.78011808734788,21.556949769245726
TP_offset_9.0,30.128155026698902,24.22536278370911
TP_structural_break_0.0,2.479641654870526,2.332266179758045
TP_structural_break_1.0,3.3025798115112805,2.986559874096506
TP_structural_break_2.0,4.117919315199833,3.577852895978791
TP_structural_break_3.0,4.782328410482215,4.0166474324828645
TP_structural_break_4.0,5.314504207059311,4.342440778166721
TP_structural_break_5.0,5.743776385898379,4.591235747295969
TP_structural_break_6.0,6.094767084697934,4.786531256297978
TP_structural_break_7.0,6.3867032104410955,4.943327420657018
TP_structural_break_8.0,6.6334332534973015,5.0715254979454825
TP_structural_break_9.0,6.844067394051457,5.1784207490640215
TP_trend_0.0,1.4557475508121895,1.458518614758489
TP_trend_1.0,2.3319461043155147,2.1862775488494917
TP_trend_2.0,3.885828717375227,3.395676719313367
TP_trend_3.0,5.518084765955342,4.690077324566383
TP_trend_4.0,7.196478577191707,6.0223883781955285
TP_trend_5.0,8.902128463650845,7.377402114796735
TP_trend_6.0,10.624268048883435,8.746309254405666
TP_trend_7.0,12.35741861280781,10.125223810201256
TP_trend_8.0,14.09731481586571,11.511036658649385
TP_trend_9.0,15.842828284641259,12.90184631995353
