,scaler,scale_level,time
0,None,None,25.374778270721436
0,"MinMaxScaler(feature_range=(0.1, 1))",local,26.568739652633667
0,StandardScaler(),local,26.73389983177185
0,"MinMaxScaler(feature_range=(0.1, 1))",global,24.8602294921875
0,StandardScaler(),global,28.299700498580933
